n,side_s,d_unit,side_exact,area_exact,credit,kind,proven_optimal,note
16,12.713629,0.2162273,"","","Melissen & Schuur 1995",literature_singleton,False,"also a member of GL-1995 family D(2k+1)+1 (k=2)"
17,12.928203,0.2113249,"6 + 4*sqrt(3)","36 + 21*sqrt(3)","Melissen & Schuur 1995",literature_singleton,False,"also a member of GL-1995 family 2D(k+1)+2D(k)-1 (k=2)"
18,13.293790,0.2034652,"","","Melissen & Schuur 1995",literature_singleton,False,""
19,13.448054,0.2003215,"","","Graham-Lubachevsky 1995 (infinite family)",GL_family,False,""
20,13.464102,0.2000000,"2*sqrt(3) + 10","30 + 28*sqrt(3)","Erdos-Oler 1961 (conjecture d(D(k)-1)=d(D(k)))",one_less_triangular,False,""
21,13.464102,0.2000000,"2*sqrt(3) + 10","30 + 28*sqrt(3)","Oler 1961 / Groemer 1960 (triangular grid, proven optimal)",triangular,True,""
22,14.612566,0.1793969,"","","Graham-Lubachevsky 1995 (infinite family)",GL_family,False,""
23,14.882670,0.1751533,"","","Graham-Lubachevsky 1995",GL_table,False,""
24,14.928203,0.1744576,"4*sqrt(3) + 8","48 + 28*sqrt(3)","Graham-Lubachevsky 1995 (infinite family)",GL_family,False,""
25,15.293810,0.1690659,"","","Graham-Lubachevsky 1995 (infinite family)",GL_family,False,""
26,15.458939,0.1667384,"","","Graham-Lubachevsky 1995 (infinite family)",GL_family,False,""
27,15.464102,0.1666667,"2*sqrt(3) + 12","36 + 39*sqrt(3)","Erdos-Oler 1961 (conjecture d(D(k)-1)=d(D(k)))",one_less_triangular,False,""
28,15.464102,0.1666667,"2*sqrt(3) + 12","36 + 39*sqrt(3)","Oler 1961 / Groemer 1960 (triangular grid, proven optimal)",triangular,True,""
29,16.605603,0.1521896,"","","Graham-Lubachevsky 1995 (infinite family)",GL_family,False,""
30,16.730088,0.1507615,"","","Graham-Lubachevsky 1995 (infinite family)",GL_family,False,""
31,16.928203,0.1485431,"4*sqrt(3) + 10","60 + 37*sqrt(3)","Graham-Lubachevsky 1995 (infinite family)",GL_family,False,""
32,17.247493,0.1451022,"","","Graham-Lubachevsky 1995",GL_table,False,""
33,17.406496,0.1434474,"","","Graham-Lubachevsky 1995",GL_table,False,""
34,17.462876,0.1428696,"","","Graham-Lubachevsky 1995 (infinite family)",GL_family,False,""
35,17.464102,0.1428571,"2*sqrt(3) + 14","42 + 52*sqrt(3)","Erdos-Oler 1961 (conjecture d(D(k)-1)=d(D(k)))",one_less_triangular,False,""
36,17.464102,0.1428571,"2*sqrt(3) + 14","42 + 52*sqrt(3)","Oler 1961 / Groemer 1960 (triangular grid, proven optimal)",triangular,True,""
37,18.531241,0.1327392,"","","Graham-Lubachevsky 1995 (infinite family)",GL_family,False,""
38,18.730088,0.1310102,"","","best-known (this work, optimizer)",generic,False,""
39,18.924497,0.1293628,"","","best-known (this work, optimizer)",generic,False,""
40,18.928203,0.1293318,"4*sqrt(3) + 12","72 + 48*sqrt(3)","Graham-Lubachevsky 1995 (infinite family)",GL_family,False,""
41,19.367257,0.1257612,"","","best-known (this work, optimizer)",generic,False,""
42,19.406496,0.1254517,"","","Graham-Lubachevsky 1995 (infinite family)",GL_family,False,""
43,19.463554,0.1250043,"","","Graham-Lubachevsky 1995 (infinite family)",GL_family,False,""
44,19.464102,0.1250000,"2*sqrt(3) + 16","48 + 67*sqrt(3)","Erdos-Oler 1961 (conjecture d(D(k)-1)=d(D(k)))",one_less_triangular,False,""
45,19.464102,0.1250000,"2*sqrt(3) + 16","48 + 67*sqrt(3)","Oler 1961 / Groemer 1960 (triangular grid, proven optimal)",triangular,True,""
46,20.527500,0.1172099,"","","Graham-Lubachevsky 1995 (infinite family)",GL_family,False,""
47,20.784461,0.1154710,"","","best-known (this work, optimizer)",generic,False,""
48,20.924497,0.1145449,"","","best-known (this work, optimizer)",generic,False,""
49,20.928203,0.1145206,"4*sqrt(3) + 14","84 + 61*sqrt(3)","Graham-Lubachevsky 1995 (infinite family)",GL_family,False,""
50,21.323595,0.1119853,"","","best-known (this work, optimizer)",generic,False,""
51,21.419862,0.1113849,"","","best-known (this work, optimizer)",generic,False,""
52,21.463737,0.1111134,"","","best-known (this work, optimizer)",generic,False,""
53,21.464087,0.1111112,"","","Graham-Lubachevsky 1995 (infinite family)",GL_family,False,""
54,21.464102,0.1111111,"2*sqrt(3) + 18","54 + 84*sqrt(3)","Erdos-Oler 1961 (conjecture d(D(k)-1)=d(D(k)))",one_less_triangular,False,""
55,21.464102,0.1111111,"2*sqrt(3) + 18","54 + 84*sqrt(3)","Oler 1961 / Groemer 1960 (triangular grid, proven optimal)",triangular,True,""
56,22.470210,0.1052293,"","","Graham-Lubachevsky 1995 (infinite family)",GL_family,False,""
57,22.612566,0.1044470,"","","Graham-Lubachevsky 1995 (infinite family)",GL_family,False,""
58,22.730088,0.1038099,"","","Graham-Lubachevsky 1995 (listed packing)",GL_listed,False,""
59,22.928203,0.1027533,"4*sqrt(3) + 16","96 + 76*sqrt(3)","best-known (this work, optimizer)",generic,False,"numerical tie with n+1"
60,22.928203,0.1027533,"4*sqrt(3) + 16","96 + 76*sqrt(3)","Graham-Lubachevsky 1995 (infinite family)",GL_family,False,""
61,23.323595,0.1007075,"","","best-known (this work, optimizer)",generic,False,""
62,23.406496,0.1002889,"","","best-known (this work, optimizer)",generic,False,""
63,23.448054,0.1000803,"","","Graham-Lubachevsky 1995 (infinite family)",GL_family,False,""
64,23.464102,0.1000000,"2*sqrt(3) + 20","60 + 103*sqrt(3)","Graham-Lubachevsky 1995 (infinite family)",GL_family,False,""
65,23.464102,0.1000000,"2*sqrt(3) + 20","60 + 103*sqrt(3)","Erdos-Oler 1961 (conjecture d(D(k)-1)=d(D(k)))",one_less_triangular,False,""
66,23.464102,0.1000000,"2*sqrt(3) + 20","60 + 103*sqrt(3)","Oler 1961 / Groemer 1960 (triangular grid, proven optimal)",triangular,True,""
67,24.467790,0.0952214,"","","Graham-Lubachevsky 1995 (infinite family)",GL_family,False,""
68,24.652057,0.0943933,"","","best-known (this work, optimizer)",generic,False,""
69,24.784461,0.0938070,"","","best-known (this work, optimizer)",generic,False,""
70,24.926910,0.0931844,"","","best-known (this work, optimizer)",generic,False,""
71,24.928203,0.0931788,"4*sqrt(3) + 18","108 + 93*sqrt(3)","Graham-Lubachevsky 1995 (infinite family)",GL_family,False,""
72,25.285562,0.0916529,"","","best-known (this work, optimizer)",generic,False,""
73,25.398598,0.0911806,"","","best-known (this work, optimizer)",generic,False,""
74,25.448085,0.0909753,"","","best-known (this work, optimizer)",generic,False,""
75,25.463778,0.0909104,"","","best-known (this work, optimizer)",generic,False,""
76,25.464102,0.0909091,"2*sqrt(3) + 22","66 + 124*sqrt(3)","Graham-Lubachevsky 1995 (infinite family)",GL_family,False,""
77,25.464102,0.0909091,"2*sqrt(3) + 22","66 + 124*sqrt(3)","Erdos-Oler 1961 (conjecture d(D(k)-1)=d(D(k)))",one_less_triangular,False,""
78,25.464102,0.0909091,"2*sqrt(3) + 22","66 + 124*sqrt(3)","Oler 1961 / Groemer 1960 (triangular grid, proven optimal)",triangular,True,""
79,26.422022,0.0871159,"","","Graham-Lubachevsky 1995 (infinite family)",GL_family,False,""
80,26.652054,0.0862517,"","","best-known (this work, optimizer)",generic,False,""
81,26.879131,0.0854152,"","","best-known (this work, optimizer)",generic,False,""
82,26.927547,0.0852390,"","","best-known (this work, optimizer)",generic,False,""
83,26.928203,0.0852366,"4*sqrt(3) + 20","120 + 112*sqrt(3)","best-known (this work, optimizer)",generic,False,"numerical tie with n+1"
84,26.928203,0.0852366,"4*sqrt(3) + 20","120 + 112*sqrt(3)","Graham-Lubachevsky 1995 (infinite family)",GL_family,False,""
85,27.375457,0.0836423,"","","best-known (this work, optimizer)",generic,False,""
86,27.391131,0.0835875,"","","best-known (this work, optimizer)",generic,False,""
87,27.455468,0.0833633,"","","best-known (this work, optimizer)",generic,False,""
88,27.459398,0.0833497,"","","Graham-Lubachevsky 1995 (infinite family)",GL_family,False,""
89,27.464102,0.0833333,"2*sqrt(3) + 24","72 + 147*sqrt(3)","Graham-Lubachevsky 1995 (infinite family)",GL_family,False,""
90,27.464102,0.0833333,"2*sqrt(3) + 24","72 + 147*sqrt(3)","Erdos-Oler 1961 (conjecture d(D(k)-1)=d(D(k)))",one_less_triangular,False,""
91,27.464102,0.0833333,"2*sqrt(3) + 24","72 + 147*sqrt(3)","Oler 1961 / Groemer 1960 (triangular grid, proven optimal)",triangular,True,""
92,28.420265,0.0801405,"","","Graham-Lubachevsky 1995 (infinite family)",GL_family,False,""
93,28.531241,0.0797857,"","","Graham-Lubachevsky 1995 (infinite family)",GL_family,False,""
94,28.730088,0.0791578,"","","best-known (this work, optimizer)",generic,False,"numerical tie with n+1"
95,28.730088,0.0791578,"","","Graham-Lubachevsky 1995 (listed packing)",GL_listed,False,""
96,28.928203,0.0785419,"4*sqrt(3) + 22","132 + 133*sqrt(3)","best-known (this work, optimizer)",generic,False,"numerical tie with n+1"
97,28.928203,0.0785419,"4*sqrt(3) + 22","132 + 133*sqrt(3)","Graham-Lubachevsky 1995 (infinite family)",GL_family,False,""
98,29.305080,0.0773965,"","","best-known (this work, optimizer)",generic,False,""
99,29.323595,0.0773410,"","","best-known (this work, optimizer)",generic,False,""
100,29.391807,0.0771376,"","","best-known (this work, optimizer)",generic,False,""
